Date,Close/Last,Volume,Open,High,Low
08/19/2020,$67.59,4081858,$69.32,$69.76,$67.46
08/18/2020,$69.82,7931611,$65.85,$70.78,$65.56
08/17/2020,$65.26,3850329,$64.88,$65.45,$63.23
08/14/2020,$64.34,4565303,$66.64,$67.75,$64.08
08/13/2020,$65.71,9862711,$63,$66.3503,$62.5
08/12/2020,$64.36,3768838,$65.21,$65.73,$63.76
08/11/2020,$64.96,4140612,$65.69,$67.2,$64.15
08/10/2020,$67.12,3932957,$68.48,$69.57,$65.15
08/07/2020,$68.3,4748018,$69.99,$70.68,$66.37
08/06/2020,$69.72,4523265,$71.73,$72.5,$69.68
08/05/2020,$71.21,4996816,$69.73,$71.74,$69.67
08/04/2020,$70.01,6039933,$70.95,$71.5,$69.0124
08/03/2020,$72.68,7897326,$69.6,$73.21,$69.1
07/31/2020,$68.22,7270687,$66.69,$68.94,$65.6
07/30/2020,$65.28,5412970,$66.17,$66.65,$62.72
07/29/2020,$66.65,4395326,$64.72,$66.9,$64.6
07/28/2020,$64.11,5709957,$64.3,$66.87,$63.93
07/27/2020,$63.68,4106775,$62.58,$63.91,$61.75
07/24/2020,$61.82,4048691,$61.56,$62.3374,$59.68
07/23/2020,$62.31,4732649,$64.31,$65.28,$60.89
07/22/2020,$64.14,4367444,$62.9,$64.41,$62.8806
07/21/2020,$62.88,6252315,$64.85,$65.31,$61.9002
07/20/2020,$64.71,10351410,$59.721,$64.995,$59.58
07/17/2020,$58.53,9961479,$61.55,$61.88,$58.23
07/16/2020,$61.29,5613650,$62.21,$62.89,$60.65
07/15/2020,$63.13,5347392,$61.43,$63.72,$60.87
07/14/2020,$62.95,9576405,$62.58,$65.08,$60.1
07/13/2020,$61.58,13147280,$69.25,$69.7281,$61.01
07/10/2020,$68.47,9163666,$64.82,$68.78,$63.8
07/09/2020,$64.49,7527092,$63.881,$65.72,$63.56
07/08/2020,$62.52,6058362,$61.04,$63.25,$61.04
07/07/2020,$60.82,6873814,$61,$62.2,$59.7
07/06/2020,$60.48,5926742,$59.25,$62.34,$59.24
07/02/2020,$59.16,5475541,$60.85,$61.3899,$58.91
07/01/2020,$60.25,8335048,$57.54,$61,$56.9203
06/30/2020,$57.77,6536649,$56.24,$59.11,$56.18
06/29/2020,$57.21,6649465,$58.05,$58.4,$55.68
06/26/2020,$58.43,15952510,$58.5,$60,$56.395
06/25/2020,$58.06,10180660,$56.39,$58.3,$55
06/24/2020,$55.55,14527140,$55.98,$57.27,$52.42
06/23/2020,$54.88,12747280,$54.49,$56.6,$53.72
06/22/2020,$53.03,13253260,$52,$55.03,$51.65
06/19/2020,$50.89,9522189,$51.13,$51.95,$50.39
06/18/2020,$51.08,8064449,$49.72,$51.25,$49.25
06/17/2020,$49.17,9153330,$50.12,$51.71,$48.73
06/16/2020,$49.91,10911550,$48.45,$51.45,$47.04
06/15/2020,$49.94,11498120,$48.27,$51,$47.08
06/12/2020,$47.1,5838977,$47.075,$48.25,$45.64
06/11/2020,$45.98,8274343,$45.93,$49.4,$45.51
06/10/2020,$47.11,5503412,$48.2,$48.7822,$46.53
06/09/2020,$47.64,7740154,$45.37,$48.05,$45.11
06/08/2020,$44.78,8704983,$45.2,$45.41,$42.9
06/05/2020,$45.9,8244063,$45.12,$46.88,$44.41
06/04/2020,$47.88,6268261,$47.4,$49.19,$46.65
06/03/2020,$47.83,7144757,$48.21,$48.4,$46.26
06/02/2020,$49.01,15354560,$45.8,$49.3,$45.56
06/01/2020,$45.85,9712801,$42.101,$45.91,$41.26
05/29/2020,$42.19,6720475,$43.04,$44.39,$41.14
05/28/2020,$42.61,6019612,$40.85,$42.94,$40.77
05/27/2020,$41.07,11618100,$41,$41.37,$38.8
05/26/2020,$41.7,9621822,$44.74,$45.5,$41.68
05/22/2020,$45.81,6230544,$45.14,$46.87,$44.8
05/21/2020,$45.3,4292674,$44.98,$45.6675,$44.03
05/20/2020,$45.11,5450339,$44.85,$45.89,$44.13
05/19/2020,$44.8,7668047,$45.08,$45.35,$44
05/18/2020,$43.61,16883290,$47.29,$48.215,$43.4
05/15/2020,$48.42,15808880,$45.25,$49.68,$45.13
05/14/2020,$45.11,12971090,$45.39,$47.38,$44.8113
05/13/2020,$45.17,15197570,$46.69,$46.8,$42.39
05/12/2020,$46.17,25236540,$44.32,$47.83,$44.05
05/11/2020,$42.8,12684460,$42.51,$44.35,$42.01
05/08/2020,$43,21728680,$42.11,$43.27,$41.27
05/07/2020,$44.12,53226010,$45.69,$45.7,$40.8
05/06/2020,$38.03,27262600,$36.83,$39.256,$35.21
05/05/2020,$36.22,16784650,$34.96,$36.36,$34.25
05/04/2020,$33.9,8916540,$32.36,$34.17,$32.03
05/01/2020,$32.05,4531926,$31.03,$32.66,$30.7
04/30/2020,$31.5,3339635,$32.44,$32.49,$31.2
04/29/2020,$31.89,6454926,$29.67,$32.2,$29.6402
04/28/2020,$30,7577284,$31.94,$32.17,$29.8
04/27/2020,$31.78,6948391,$32.44,$33.7362,$31.73
04/24/2020,$31.74,14817350,$30.25,$33.02,$30.01
04/23/2020,$29.89,6794074,$31.16,$31.75,$29.33
04/22/2020,$31.18,5481699,$31.8,$32.02,$30.42
04/21/2020,$31.39,9477816,$31.27,$32.32,$29.51
